date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:24:12	116/116	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Nov%202024%2001:24:10%20GMT	https://fragment.com/robots.txt		(from )
04:24:12	31453/31453	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2027%20Nov%202024%2001:24:10%20GMT	https://fragment.com/username/hwqb	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Fragment%20HWQB/fragment.com/username/hwqb.html	(from )
04:24:13	6166/6166	UR-MCZ	200	updated ('OK')	text/css	etag:W/%2263512b7d-1816%22	https://fragment.com/css/font-roboto.css?1	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Fragment%20HWQB/fragment.com/css/font-robotoc4ca.css	(from https://fragment.com/username/hwqb)
04:25:00	42523/42523	U-----	200	untouched ('OK')	text/css	etag:W/%225a05e7c6-a61b%22	https://fragment.com/css/bootstrap.min.css?3	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Fragment%20HWQB/fragment.com/css/bootstrap.mineccb.css	(from https://fragment.com/username/hwqb)
04:25:01	71240/71240	U-----	200	untouched ('OK')	text/css	etag:W/%225a05e7c6-11648%22	https://fragment.com/css/bootstrap-extra.css?2	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Fragment%20HWQB/fragment.com/css/bootstrap-extrac81e.css	(from https://fragment.com/username/hwqb)
04:25:02	0/0	U-----	200	untouched ('')	application/javascript	etag:W/%225a05e7c6-1762a%22	https://fragment.com/js/jquery.min.js?1	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Fragment%20HWQB/fragment.com/js/jquery.minc4ca.js	(from https://fragment.com/username/hwqb)
04:25:02	158246/158246	U-----	200	untouched ('OK')	text/css	etag:W/%2267449f4f-26a26%22	https://fragment.com/css/auction.css?79	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Fragment%20HWQB/fragment.com/css/auctiond1fe.css	(from https://fragment.com/username/hwqb)
04:25:49	37976/37976	U-----	200	untouched ('')	application/javascript	etag:W/%2266918ff2-9458%22	https://fragment.com/js/main-aj.js?70	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Fragment%20HWQB/fragment.com/js/main-aj7cbb.js	(from https://fragment.com/username/hwqb)
04:25:49	32013/32013	U-----	200	untouched ('')	application/javascript	etag:W/%225a05e7c6-7d0d%22	https://fragment.com/js/bootstrap.min.js	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Fragment%20HWQB/fragment.com/js/bootstrap.min.js	(from https://fragment.com/username/hwqb)
04:25:50	65052/65052	U-----	200	untouched ('')	application/javascript	etag:W/%2266c5de46-fe1c%22	https://fragment.com/js/jquery-ex.js?20	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Fragment%20HWQB/fragment.com/js/jquery-ex98f1.js	(from https://fragment.com/username/hwqb)
04:25:51	65571/65571	U-----	200	untouched ('')	application/javascript	etag:W/%22634eeb2d-10023%22	https://fragment.com/js/qr-code-styling.js?1	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Fragment%20HWQB/fragment.com/js/qr-code-stylingc4ca.js	(from https://fragment.com/username/hwqb)
04:26:27	0/0	U-----	200	untouched ('')	application/javascript	etag:W/%22642abc84-4ff5%22	https://telegram.org/js/telegram-widget.js?22	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Fragment%20HWQB/telegram.org/js/telegram-widgetb6d7.js	(from https://fragment.com/username/hwqb)
04:26:27	141597/141597	U-----	200	untouched ('')	application/javascript	etag:W/%2267449f4f-2291d%22	https://fragment.com/js/auction.js?83	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Fragment%20HWQB/fragment.com/js/auctionfe9f.js	(from https://fragment.com/username/hwqb)
04:26:27	321543/321543	U-----	200	untouched ('')	application/javascript	etag:W/%2266929621-4e807%22	https://fragment.com/js/tonconnect-ui.min.js?6	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Fragment%20HWQB/fragment.com/js/tonconnect-ui.min1679.js	(from https://fragment.com/username/hwqb)
04:26:27	24604/24604	U-----	200	untouched ('')	application/javascript	etag:W/%2264242194-601c%22	https://fragment.com/js/tgsticker.js?31	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Fragment%20HWQB/fragment.com/js/tgstickerc16a.js	(from https://fragment.com/username/hwqb)
